id_driver,recency,frequency,monetary_value,updated_at
789385,6,140,331,2020-03-23 07:12:30.410 UTC
449562,7,28,2221,2020-03-23 07:12:30.410 UTC
579746,6,42,1112,2020-03-23 07:12:30.410 UTC
756065,8,5,141,2020-03-23 07:12:30.410 UTC
264711,14,106,3283,2020-03-23 07:12:30.410 UTC
13333,6,204,12732,2020-03-23 07:12:30.410 UTC
60612,7,5,1124,2020-03-23 07:12:30.410 UTC
673056,8,14,345,2020-03-23 07:12:30.410 UTC
19636,9,34,1924,2020-03-23 07:12:30.410 UTC
214830,7,143,6573,2020-03-23 07:12:30.410 UTC
593094,8,28,712,2020-03-23 07:12:30.410 UTC
188924,7,312,6904,2020-03-23 07:12:30.410 UTC
769651,6,140,484,2020-03-23 07:12:30.410 UTC
7797,6,370,18576,2020-03-23 07:12:30.410 UTC
381989,7,103,3360,2020-03-23 07:12:30.410 UTC
755089,8,139,704,2020-03-23 07:12:30.410 UTC
112786,7,120,3681,2020-03-23 07:12:30.410 UTC
134704,10,15,292,2020-03-23 07:12:30.410 UTC
599865,12,22,90,2020-03-23 07:12:30.410 UTC
103170,10,64,3019,2020-03-23 07:12:30.410 UTC
285623,7,35,1563,2020-03-23 07:12:30.410 UTC
330635,15,28,245,2020-03-23 07:12:30.410 UTC
186782,8,132,3401,2020-03-23 07:12:30.410 UTC
572463,6,59,1798,2020-03-23 07:12:30.410 UTC
628564,10,99,1716,2020-03-23 07:12:30.410 UTC
129875,4,79,3648,2020-03-23 07:12:30.410 UTC
152734,18,14,1570,2020-03-23 07:12:30.410 UTC
247370,7,164,5392,2020-03-23 07:12:30.410 UTC
10767,8,49,5422,2020-03-23 07:12:30.410 UTC
630671,7,101,2116,2020-03-23 07:12:30.410 UTC
25381,7,148,6749,2020-03-23 07:12:30.410 UTC
110284,10,177,6829,2020-03-23 07:12:30.410 UTC
353092,7,135,3523,2020-03-23 07:12:30.410 UTC
30422,9,32,1407,2020-03-23 07:12:30.410 UTC
91969,8,172,6747,2020-03-23 07:12:30.410 UTC
414096,7,90,1848,2020-03-23 07:12:30.410 UTC
700142,9,33,1175,2020-03-23 07:12:30.410 UTC
549296,14,12,1581,2020-03-23 07:12:30.410 UTC
665482,8,40,609,2020-03-23 07:12:30.410 UTC
69421,11,1,502,2020-03-23 07:12:30.410 UTC
51066,20,21,3163,2020-03-23 07:12:30.410 UTC
90225,8,139,4918,2020-03-23 07:12:30.410 UTC
637850,7,93,1203,2020-03-23 07:12:30.410 UTC
551186,1,29,1758,2020-03-23 07:12:30.410 UTC
17694,6,152,13522,2020-03-23 07:12:30.410 UTC
722441,8,110,1017,2020-03-23 07:12:30.410 UTC
253895,9,53,534,2020-03-23 07:12:30.410 UTC
694510,7,110,763,2020-03-23 07:12:30.410 UTC
36444,7,85,2376,2020-03-23 07:12:30.410 UTC
459441,7,59,262,2020-03-23 07:12:30.410 UTC
515035,7,122,3620,2020-03-23 07:12:30.410 UTC
435152,7,111,4380,2020-03-23 07:12:30.410 UTC
79722,6,84,2998,2020-03-23 07:12:30.410 UTC
344404,10,67,560,2020-03-23 07:12:30.410 UTC
31623,8,308,9860,2020-03-23 07:12:30.410 UTC
267633,4,75,2697,2020-03-23 07:12:30.410 UTC
33513,6,220,7200,2020-03-23 07:12:30.410 UTC
568787,7,182,1367,2020-03-23 07:12:30.410 UTC
353269,7,6,1193,2020-03-23 07:12:30.410 UTC
20096,12,15,10746,2020-03-23 07:12:30.410 UTC
493229,18,12,1011,2020-03-23 07:12:30.410 UTC
487191,10,14,447,2020-03-23 07:12:30.410 UTC
719693,8,83,692,2020-03-23 07:12:30.410 UTC
539265,7,56,487,2020-03-23 07:12:30.410 UTC
617843,9,71,402,2020-03-23 07:12:30.410 UTC
790226,8,72,234,2020-03-23 07:12:30.410 UTC
591620,6,187,2770,2020-03-23 07:12:30.410 UTC
685368,7,54,873,2020-03-23 07:12:30.410 UTC
269011,6,72,326,2020-03-23 07:12:30.410 UTC
238405,6,125,2320,2020-03-23 07:12:30.410 UTC
658802,9,38,1619,2020-03-23 07:12:30.410 UTC
76587,6,34,690,2020-03-23 07:12:30.410 UTC
86268,13,52,578,2020-03-23 07:12:30.410 UTC
451417,7,176,2262,2020-03-23 07:12:30.410 UTC
425935,9,29,1142,2020-03-23 07:12:30.410 UTC
139152,1,191,2504,2020-03-23 07:12:30.410 UTC
